,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,kNN_ham10_pred,kNN_ham2_pred,kNN_ham4_pred,kNN_ham6_pred,kNN_ham8_pred,kNN_ham9_pred,1st_ham,1st_time,2nd_ham,2nd_time,3rd_ham,3rd_time
0,38.5,34.783,61.901,16.893,32.844,10.094,92.14527272727273,152.48362500000002,199.98953571428572,193.16862500000002,199.98552,92.84468965517244,runtime_ham10,38.5,runtime_ham9,10.094,runtime_ham2,34.783
1,199.89,199.952,62.617,67.625,72.054,87.41,92.14527272727273,152.48362500000002,199.98953571428572,193.16862500000002,199.98552,92.84468965517244,runtime_ham10,199.89,runtime_ham9,87.41,runtime_ham2,199.952
2,121.01899999999999,122.516,69.984,27.857,40.924,46.658,92.14527272727273,152.48362500000002,199.98953571428572,193.16862500000002,199.98552,92.84468965517244,runtime_ham10,121.01899999999999,runtime_ham9,46.658,runtime_ham2,122.516
3,175.8,170.31799999999998,39.582,48.067,58.981,105.544,92.14527272727273,152.48362500000002,199.98953571428572,193.16862500000002,199.98552,92.84468965517244,runtime_ham10,175.8,runtime_ham9,105.544,runtime_ham2,170.31799999999998
4,199.80200000000002,199.922,85.876,46.071000000000005,59.113,51.3,92.14527272727273,152.48362500000002,199.98953571428572,193.16862500000002,199.98552,92.84468965517244,runtime_ham10,199.80200000000002,runtime_ham9,51.3,runtime_ham2,199.922
5,199.99099999999999,13.045,5.902,4.14,12.671,10.59,130.404,96.21887500000001,33.43082142857143,53.125499999999995,46.151439999999994,47.22241379310344,runtime_ham4,5.902,runtime_ham8,12.671,runtime_ham9,10.59
6,199.953,199.993,5.7589999999999995,138.026,11.571,21.075,118.35054545454545,78.94325,35.07307142857143,49.340875,38.74676,45.947103448275854,runtime_ham4,5.7589999999999995,runtime_ham8,11.571,runtime_ham9,21.075
7,199.993,13.359000000000002,2.254,6.612,28.829,76.689,111.46918181818182,84.76887500000001,30.687785714285713,58.847125,40.892,44.7813448275862,runtime_ham4,2.254,runtime_ham8,28.829,runtime_ham9,76.689
8,199.99,72.279,3.0989999999999998,166.668,3.2960000000000003,125.325,111.46918181818182,65.20812500000001,34.246857142857145,54.559625,44.78596,48.010206896551715,runtime_ham4,3.0989999999999998,runtime_ham8,3.2960000000000003,runtime_ham9,125.325
9,157.98,199.99400000000003,14.769,199.99,32.509,161.394,111.46918181818181,72.25525,27.479000000000006,53.991499999999995,39.771119999999996,41.41900000000001,runtime_ham4,14.769,runtime_ham8,32.509,runtime_ham9,161.394
10,199.99099999999999,199.99400000000003,21.241,178.05599999999998,51.153,199.995,111.46918181818182,50.235,22.904714285714295,34.5795,30.80648,50.518862068965525,runtime_ham4,21.241,runtime_ham8,51.153,runtime_ham6,178.05599999999998
11,195.373,127.446,1.051,3.667,56.696000000000005,114.689,121.78690909090909,50.235,30.392785714285715,34.5795,34.29600000000001,45.7293448275862,runtime_ham4,1.051,runtime_ham8,56.696000000000005,runtime_ham6,3.667
12,162.496,199.993,52.06399999999999,156.184,2.9210000000000003,199.995,111.46918181818184,59.77912500000001,30.670071428571426,57.391375,31.22508,44.5878275862069,runtime_ham4,52.06399999999999,runtime_ham8,2.9210000000000003,runtime_ham9,199.995
13,199.942,41.06,51.473,18.727999999999998,4.868,4.39,111.46918181818184,66.82625,23.356178571428575,56.823249999999994,30.806479999999997,50.57558620689656,runtime_ham4,51.473,runtime_ham8,4.868,runtime_ham9,4.39
14,167.092,52.878,6.234,75.472,7.417000000000001,1.771,111.95836363636364,64.206625,24.700642857142856,56.23175,22.75648,53.62748275862068,runtime_ham8,7.417000000000001,runtime_ham4,6.234,runtime_ham9,1.771
15,165.22099999999998,74.85,0.868,199.995,3.485,199.99599999999998,111.95836363636363,40.2185,35.1175,51.646874999999994,27.99576,51.469275862068955,runtime_ham8,3.485,runtime_ham4,0.868,runtime_ham2,74.85
16,183.71900000000002,7.545,5.742000000000001,49.328,6.792000000000001,47.352,111.46918181818182,64.84700000000001,37.23942857142857,45.464875,32.874280000000006,55.37958620689655,runtime_ham8,6.792000000000001,runtime_ham4,5.742000000000001,runtime_ham6,49.328
17,174.157,42.18,2.356,19.525,3.341,24.377,125.36663636363637,50.235,28.761892857142858,34.579499999999996,30.352919999999997,43.23831034482758,runtime_ham4,2.356,runtime_ham8,3.341,runtime_ham6,19.525
18,199.99,19.3,6.432,199.99099999999999,5.815,126.929,121.19027272727273,43.542625,20.118214285714284,35.999375,17.78264,53.09644827586206,runtime_ham8,5.815,runtime_ham4,6.432,runtime_ham6,199.99099999999999
19,199.989,88.569,50.379,199.99,79.92,199.99599999999998,121.19027272727276,57.99925,24.469535714285715,38.172124999999994,18.29204,48.97810344827585,runtime_ham8,79.92,runtime_ham4,50.379,runtime_ham6,199.99
20,199.99200000000002,199.99,23.564,112.555,12.417,177.91400000000002,125.3666363636364,64.206625,23.32621428571429,56.23175,27.990040000000004,47.370999999999995,runtime_ham4,23.564,runtime_ham8,12.417,runtime_ham9,177.91400000000002
21,198.051,55.284,2.3409999999999997,16.395,4.683,199.99599999999998,121.29427272727274,57.30225,24.083321428571423,36.52374999999999,24.913920000000005,53.08203448275862,runtime_ham4,2.3409999999999997,runtime_ham8,4.683,runtime_ham6,16.395
22,199.989,16.459,16.023,81.24600000000001,2.8789999999999996,11.027000000000001,111.46918181818182,64.84687500000001,31.229071428571423,46.921875,22.40452,50.95172413793104,runtime_ham8,2.8789999999999996,runtime_ham4,16.023,runtime_ham6,81.24600000000001
23,199.99,199.99400000000003,1.0390000000000001,1.7080000000000002,5.138,18.417,125.36663636363637,57.30225,28.497607142857138,36.52375,20.00216,54.40179310344827,runtime_ham8,5.138,runtime_ham4,1.0390000000000001,runtime_ham6,1.7080000000000002
24,199.99099999999999,64.01,27.101,199.989,5.256,175.248,113.288,25.76125,28.49760714285714,22.94475,27.994599999999995,54.145965517241386,runtime_ham6,199.989,runtime_ham2,64.01,runtime_ham8,5.256
